"Model","Variable","Dependent","ImportanceScaled","ImportanceRaw"
"Random Forest","helptft","welloff",0.105489195746388,1.0919583818348e-05
"Random Forest","helpclw","welloff",0.141894446054394,1.26522264058668e-05
"Random Forest","helpweb","welloff",1.50716620123696,7.76298866760845e-05
"Random Forest","helpdk","welloff",1.69927887195613,8.67731446422797e-05
"Random Forest","helpoth","welloff",0,5.89901476506771e-06
"Random Forest","drugease","welloff",19.4434572603318,0.000931275486917598
"Random Forest","heradd","welloff",31.2157362898021,0.00149155599113183
"Random Forest","herdang","welloff",21.5172185944281,0.00102997243786302
"Random Forest","injhiv","welloff",25.9070663646887,0.00123889936832297
"Random Forest","injhepc","welloff",18.8051497762967,0.000900896387160989
"Random Forest","snifdam","welloff",16.7247785774479,0.000801884851558933
"Random Forest","cokedang","welloff",28.9230798454912,0.00138244112005267
"Random Forest","candang","welloff",19.4508714538744,0.000931628352160256
"Random Forest","excite","welloff",6.92750377587865,0.000335601130963539
"Random Forest","helpadv","welloff",16.0693941695183,0.000770693006240816
"Random Forest","stupid","welloff",6.35417489813406,0.000308314571419786
"Random Forest","sellpun","welloff",7.07263293636788,0.000342508293035686
"Random Forest","legalhi","welloff",6.8981336629963,0.000334203313122715
"Random Forest","cigok","welloff",22.1804404086995,0.00106153729047785
"Random Forest","alcok","welloff",50.7591231219048,0.00242168843200694
"Random Forest","drunkok","welloff",30.6475428407587,0.00146451384310558
"Random Forest","glueok","welloff",9.8150645718918,0.000473029407569065
"Random Forest","canok","welloff",24.6919319552721,0.00118106722571986
"Random Forest","cokeok","welloff",20.9383905867373,0.00100242415709339
"Random Forest","hpbclass","welloff",97.84094441356,0.00466246326469451
"Random Forest","hpcclass","welloff",100,0.00476521964258607
"Random Forest","youth","welloff",1.50113718061072,7.73429462537645e-05
"Random Forest","drama","welloff",3.10731028165488,0.000153785873970271
"Random Forest","sports","welloff",26.0892676725849,0.00124757091275384
"Random Forest","comp","welloff",0.649791882654857,3.68246938741668e-05
"Random Forest","noclubs","welloff",23.9522040642277,0.00114586120361164
"Random Forest","clubdk","welloff",9.31355024018087,0.000449160732528468
